"Date","FlightNumber","Segment","PaxNumber","Total bags","Masse Totale"
20221010,HC105,CSK-DSS,14,14,261
20221010,HC105,DSS-CSK,34,34,666
20221010,HC109,DSS-CSK,45,54,1051
20221010,HC110,CSK-DSS,17,19,544
20221010,HC201,DSS-OXB,14,18,696
20221010,HC202,OXB-DSS,7,7,155
20221010,HC203,DSS-BJL,23,31,872
20221010,HC204,BJL-DSS,16,16,787
20221010,HC209,DSS-CKY,38,64,2049
20221010,HC213,DSS-FNA,16,21,807
20221010,HC214,FNA-DSS,7,11,351
20221010,HC303,DSS-ABJ,34,55,1573
20221010,HC304,ABJ-DSS,49,92,2794
20221010,HC331,DSS-CMN,67,106,2840
20221010,HC332,CMN-DSS,39,66,1739
20221010,HC341,COO-DLA,21,43,1216
20221010,HC341,DLA-LBV,17,22,599
20221010,HC341,DSS-COO,28,45,1381
20221010,HC342,COO-DSS,31,57,1721
20221010,HC342,DLA-COO,28,51,1229
20221010,HC342,LBV-DLA,24,32,708
20221010,HC403,DSS-CDG,133,240,8783
20221010,HC404,CDG-DSS,128,243,8509
20221010,HC417,DSS-MXP,71,129,5325
20221010,HC418,MXP-DSS,52,97,3351
20221011,HC101,DSS-CSK,39,41,1237
20221011,HC102,CSK-DSS,21,21,609
20221011,HC103,DSS-CSK,25,29,836
20221011,HC104,CSK-DSS,27,28,772
20221011,HC209,DSS-CKY,42,74,4306
20221011,HC301,DSS-BKO,43,73,1909
20221011,HC302,BKO-DSS,41,67,2194
20221011,HC303,DSS-ABJ,51,82,2325
20221011,HC304,ABJ-DSS,63,123,3519
20221011,HC331,DSS-CMN,44,71,2033
20221011,HC332,CMN-DSS,28,57,1666
20221011,HC403,DSS-CDG,137,245,9426
20221011,HC404,CDG-DSS,97,192,5827
20221012,HC101,DSS-CSK,32,37,901
20221012,HC102,CSK-DSS,20,20,663
20221012,HC103,DSS-CSK,28,30,831
20221012,HC104,CSK-DSS,37,37,1324
20221012,HC205,DSS-NKC,30,33,1131
20221012,HC206,NKC-DSS,13,15,542
20221012,HC209,DSS-CKY,42,70,3936
20221012,HC210,CKY-DSS,46,70,3243
20221012,HC213,BJL-FNA,10,19,594
20221012,HC213,DSS-BJL,29,34,1026
20221012,HC214,FNA-BJL,8,13,450
20221012,HC303,DSS-ABJ,43,70,1567
20221012,HC304,ABJ-DSS,49,83,2538
20221012,HC331,DSS-CMN,129,204,9391
20221012,HC332,CMN-DSS,51,97,2703
20221012,HC403,DSS-CDG,138,251,8540
20221012,HC404,CDG-DSS,119,232,8171
20221012,HC417,DSS-MXP,70,125,4186
20221012,HC418,MXP-DSS,46,84,3457
20221012,HC427,DSS-LYS,29,46,1527
20221012,HC427,MRS-DSS,30,52,1848
20221013,HC101,DSS-CSK,27,34,1381
20221013,HC102,CSK-DSS,14,14,293
20221013,HC103,DSS-CSK,35,37,1056
20221013,HC104,CSK-DSS,20,20,453
20221013,HC109,DSS-CSK,19,19,544
20221013,HC110,CSK-DSS,29,29,731
20221013,HC205,DSS-NKC,12,15,376
20221013,HC206,NKC-DSS,8,8,187
20221013,HC209,DSS-CKY,41,69,2916
20221013,HC210,CKY-DSS,41,69,2202
20221013,HC214,BJL-DSS,18,19,681
20221013,HC301,DSS-BKO,30,49,1785
20221013,HC302,BKO-DSS,57,93,2546
20221013,HC303,DSS-ABJ,40,69,1921
20221013,HC304,ABJ-DSS,54,110,3566
20221013,HC341,COO-DLA,25,51,1855
20221013,HC341,DLA-LBV,16,21,509
20221013,HC341,DSS-COO,24,44,1311
20221013,HC342,COO-DSS,31,62,2346
20221013,HC342,DLA-COO,22,39,1264
20221013,HC342,LBV-DLA,21,28,891
20221013,HC403,DSS-CDG,132,222,8065
20221013,HC404,CDG-DSS,111,236,8834
20221013,HC407,DSS-JFK,62,139,4562
20221013,HC408,JFK-DSS,44,118,3840
20221013,HC423,DSS-BCN,43,70,2224
20221013,HC424,BCN-DSS,51,96,2828
20221014,HC105,CSK-DSS,34,34,852
20221014,HC105,DSS-CSK,44,46,967
20221014,HC109,DSS-CSK,49,50,1044
20221014,HC110,CSK-DSS,40,42,1051
