"Date","FlightNumber","Segment","PaxNumber","Total bags","Masse Totale"
20221014,HC201,DSS-OXB,26,31,955
20221014,HC202,OXB-DSS,10,10,360
20221014,HC207,DSS-RAI,25,33,997
20221014,HC208,RAI-DSS,27,32,681
20221014,HC209,DSS-CKY,41,84,3128
20221014,HC210,CKY-DSS,33,50,1919
20221014,HC213,BJL-FNA,3,6,100
20221014,HC213,DSS-BJL,29,33,1214
20221014,HC214,BJL-DSS,24,27,613
20221014,HC214,FNA-BJL,2,3,54
20221014,HC303,DSS-ABJ,44,61,1610
20221014,HC304,ABJ-DSS,59,126,3904
20221014,HC331,DSS-CMN,39,65,2588
20221014,HC332,CMN-DSS,26,48,1692
20221014,HC403,DSS-CDG,149,254,9898
20221014,HC404,CDG-DSS,103,194,7141
20221014,HC427,DSS-LYS,31,61,1600
20221014,HC427,MRS-DSS,41,81,1887
20221015,HC101,DSS-CSK,49,56,1766
20221015,HC102,CSK-DSS,25,25,724
20221015,HC105,CSK-DSS,24,24,575
20221015,HC105,DSS-CSK,40,43,1155
20221015,HC205,DSS-NKC,12,13,352
20221015,HC206,NKC-DSS,21,23,751
20221015,HC209,DSS-CKY,45,72,3412
20221015,HC210,CKY-DSS,35,55,2059
20221015,HC213,BJL-FNA,5,8,176
20221015,HC213,DSS-BJL,36,40,1206
20221015,HC214,BJL-DSS,29,35,998
20221015,HC214,FNA-BJL,3,4,187
20221015,HC303,DSS-ABJ,59,90,2733
20221015,HC304,ABJ-DSS,79,163,5308
20221015,HC331,DSS-CMN,41,74,2370
20221015,HC332,CMN-DSS,58,117,3093
20221015,HC341,COO-DLA,27,54,1622
20221015,HC341,DLA-LBV,12,21,647
20221015,HC341,DSS-COO,35,55,1311
20221015,HC342,COO-DSS,39,78,2598
20221015,HC342,DLA-COO,32,41,793
20221015,HC342,LBV-DLA,22,35,998
20221015,HC403,DSS-CDG,151,269,8923
20221015,HC417,DSS-MXP,64,106,3901
20221015,HC418,MXP-DSS,51,97,3545
20221016,HC105,CSK-DSS,42,42,753
20221016,HC105,DSS-CSK,35,37,909
20221016,HC109,DSS-CSK,51,61,1908
20221016,HC110,CSK-DSS,43,43,977
20221016,HC205,DSS-NKC,44,47,1571
20221016,HC206,NKC-DSS,10,11,328
20221016,HC209,DSS-CKY,70,109,4877
20221016,HC210,CKY-DSS,45,67,2351
20221016,HC301,DSS-BKO,63,107,3037
20221016,HC302,BKO-DSS,54,93,2997
20221016,HC303,DSS-ABJ,82,126,3607
20221016,HC304,ABJ-DSS,73,121,3393
20221016,HC403,DSS-CDG,157,261,9786
20221016,HC404,CDG-DSS,152,285,10073
20221016,HC407,DSS-JFK,58,128,4695
20221016,HC408,JFK-DSS,37,90,3349
20221016,HC423,DSS-BCN,59,115,3023
20221016,HC424,BCN-DSS,44,92,2596
20221016,HC427,DSS-LYS,21,39,1264
20221016,HC427,MRS-DSS,36,64,1784
20221017,HC105,DSS-CSK,63,68,2396
20221017,HC201,DSS-OXB,13,14,316
20221017,HC202,OXB-DSS,7,7,144
20221017,HC209,DSS-CKY,35,56,2486
20221017,HC210,CKY-DSS,31,48,2151
20221017,HC213,BJL-FNA,3,4,185
20221017,HC213,DSS-BJL,42,49,1116
20221017,HC214,BJL-DSS,25,28,702
20221017,HC214,FNA-BJL,5,9,143
20221017,HC303,DSS-ABJ,54,84,2375
20221017,HC304,ABJ-DSS,69,113,2795
20221017,HC331,DSS-CMN,59,99,2623
20221017,HC332,CMN-DSS,49,86,2158
20221017,HC341,COO-DLA,28,58,2130
20221017,HC341,DLA-LBV,14,25,648
20221017,HC341,DSS-COO,31,51,1290
20221017,HC342,COO-DSS,46,82,2761
20221017,HC342,DLA-COO,36,52,1375
20221017,HC342,LBV-DLA,10,13,342
20221017,HC403,DSS-CDG,128,221,9735
20221017,HC404,CDG-DSS,146,281,8902
20221017,HC417,DSS-MXP,67,112,4409
20221017,HC418,MXP-DSS,56,106,3511
20221018,HC103,DSS-CSK,56,66,2394
20221018,HC104,CSK-DSS,37,37,1300
20221018,HC209,DSS-CKY,46,76,2624
20221018,HC210,CKY-DSS,35,56,2487
20221018,HC301,DSS-BKO,40,65,2219
20221018,HC302,BKO-DSS,44,75,1909
20221018,HC303,DSS-ABJ,53,80,2479
20221018,HC304,ABJ-DSS,46,92,2422
20221018,HC331,DSS-CMN,27,47,1381
20221018,HC332,CMN-DSS,34,61,1808
20221018,HC403,DSS-CDG,126,224,8001
20221018,HC404,CDG-DSS,131,265,8932
20221019,HC103,DSS-CSK,37,40,1210
20221019,HC104,CSK-DSS,34,34,1031
20221019,HC205,DSS-NKC,15,15,375
20221019,HC206,NKC-DSS,19,24,668
20221019,HC207,DSS-RAI,22,26,741
20221019,HC208,RAI-DSS,11,11,195
20221019,HC209,DSS-CKY,47,76,2963
20221019,HC210,CKY-DSS,31,49,1314
20221019,HC213,BJL-FNA,2,3,92
20221019,HC213,DSS-BJL,40,49,1294
20221019,HC214,BJL-DSS,19,20,774
20221019,HC214,FNA-BJL,5,6,160
20221019,HC303,DSS-ABJ,45,70,1525
20221019,HC304,ABJ-DSS,63,114,2997
20221019,HC331,DSS-CMN,42,73,2436
20221019,HC332,CMN-DSS,59,108,2926
20221019,HC403,DSS-CDG,111,188,5753
20221019,HC404,CDG-DSS,123,233,8357
20221019,HC417,DSS-MXP,63,117,3987
20221019,HC418,MXP-DSS,60,116,4191
20221019,HC427,DSS-LYS,23,38,1034
20221019,HC427,MRS-DSS,38,70,2225
20221020,HC101,DSS-CSK,42,48,1026
20221020,HC102,CSK-DSS,24,24,684
20221020,HC103,DSS-CSK,35,38,926
20221020,HC104,CSK-DSS,25,25,854
20221020,HC109,DSS-CSK,37,41,1399
20221020,HC110,CSK-DSS,19,19,397
20221020,HC205,DSS-NKC,27,33,1079
20221020,HC206,NKC-DSS,10,10,257
20221020,HC209,DSS-CKY,49,86,3469
20221020,HC210,CKY-DSS,28,41,2371
20221020,HC301,DSS-BKO,38,66,2058
20221020,HC302,BKO-DSS,49,75,2946
20221020,HC303,DSS-ABJ,53,81,2236
20221020,HC304,ABJ-DSS,49,97,2851
20221020,HC341,COO-DLA,24,49,1607
20221020,HC341,DLA-LBV,17,36,827
20221020,HC341,DSS-COO,35,57,1591
20221020,HC342,COO-DSS,35,70,3012
20221020,HC342,DLA-COO,28,47,1184
20221020,HC342,LBV-DLA,13,23,713
20221020,HC403,DSS-CDG,112,204,7293
20221020,HC404,CDG-DSS,153,283,10768
20221020,HC407,DSS-JFK,58,128,4067
20221020,HC408,JFK-DSS,35,123,4815
20221020,HC423,DSS-BCN,37,67,2315
20221020,HC424,BCN-DSS,52,106,3267
20221021,HC105,CSK-DSS,34,35,1068
20221021,HC105,DSS-CSK,30,36,673
20221021,HC109,DSS-CSK,46,50,1116
20221021,HC110,CSK-DSS,25,27,1034
20221021,HC201,DSS-OXB,25,27,663
20221021,HC202,OXB-DSS,17,17,530
20221021,HC207,DSS-RAI,25,32,1223
20221021,HC208,RAI-DSS,13,14,303
20221021,HC209,DSS-CKY,40,68,3432
20221021,HC210,CKY-DSS,29,43,2003
20221021,HC213,BJL-FNA,6,9,210
20221021,HC213,DSS-BJL,20,22,1082
20221021,HC214,BJL-DSS,33,37,1255
20221021,HC214,FNA-BJL,6,13,282
20221021,HC303,DSS-ABJ,50,72,1732
20221021,HC304,ABJ-DSS,60,109,3267
20221021,HC331,DSS-CMN,22,39,1301
20221021,HC332,CMN-DSS,41,65,1804
20221021,HC403,DSS-CDG,133,239,7891
20221021,HC404,CDG-DSS,154,294,11167
20221021,HC427,DSS-LYS,31,54,1311
20221021,HC427,MRS-DSS,32,58,1746
20221022,HC101,DSS-CSK,31,32,1177
20221022,HC102,CSK-DSS,29,29,857
20221022,HC105,CSK-DSS,43,44,1142
20221022,HC105,DSS-CSK,38,44,1289
20221022,HC205,DSS-NKC,18,23,711
20221022,HC206,NKC-DSS,17,21,549
20221022,HC209,DSS-CKY,46,80,4985
20221022,HC210,CKY-DSS,37,53,1772
20221022,HC213,BJL-FNA,8,12,284
20221022,HC213,DSS-BJL,30,34,1090
20221022,HC214,BJL-DSS,28,32,1002
20221022,HC214,FNA-BJL,6,8,223
20221022,HC303,DSS-ABJ,74,114,2838
20221022,HC304,ABJ-DSS,76,135,4045
20221022,HC331,DSS-CMN,42,75,2734
20221022,HC332,CMN-DSS,52,88,3074
20221022,HC341,COO-DLA,31,73,2336
20221022,HC341,DLA-LBV,10,13,462
20221022,HC341,DSS-COO,41,61,1472
20221022,HC342,COO-DSS,37,73,2306
20221022,HC342,DLA-COO,35,52,1123
20221022,HC342,LBV-DLA,15,23,555
20221022,HC403,DSS-CDG,148,246,8049
20221022,HC404,CDG-DSS,187,332,9849
20221022,HC417,DSS-MXP,64,101,3318
20221022,HC418,MXP-DSS,58,95,3482
20221023,HC105,CSK-DSS,26,30,843
20221023,HC105,DSS-CSK,23,25,1165
20221023,HC109,DSS-CSK,48,56,2124
20221023,HC110,CSK-DSS,34,34,740
20221023,HC203,DSS-BJL,42,45,1381
20221023,HC204,BJL-DSS,27,29,773
20221023,HC205,DSS-NKC,25,29,957
20221023,HC206,NKC-DSS,14,15,357
20221023,HC207,DSS-RAI,40,44,948
20221023,HC208,RAI-DSS,14,16,371
20221023,HC209,DSS-CKY,52,93,4071
20221023,HC210,CKY-DSS,33,50,2285
20221023,HC301,DSS-BKO,64,94,2860
20221023,HC302,BKO-DSS,57,87,2483
20221023,HC303,DSS-ABJ,74,105,2531
20221023,HC304,ABJ-DSS,76,114,3416
20221023,HC403,DSS-CDG,143,247,8077
20221023,HC404,CDG-DSS,157,275,8305
20221023,HC407,DSS-JFK,65,123,3567
20221023,HC408,JFK-DSS,45,125,4415
20221023,HC423,DSS-BCN,48,90,2106
20221023,HC424,BCN-DSS,57,105,2851
20221023,HC427,DSS-LYS,31,55,1408
20221023,HC427,MRS-DSS,29,45,1477
20221024,HC105,CSK-DSS,20,20,532
20221024,HC105,DSS-CSK,23,25,682
20221024,HC109,DSS-CSK,48,53,1810
20221024,HC110,CSK-DSS,36,37,1178
20221024,HC201,DSS-OXB,34,37,782
20221024,HC202,OXB-DSS,17,17,362
20221024,HC207,DSS-RAI,32,34,1023
20221024,HC208,RAI-DSS,27,28,731
20221024,HC209,DSS-CKY,56,80,2322
20221024,HC210,CKY-DSS,26,37,1227
20221024,HC213,BJL-FNA,5,6,266
20221024,HC213,DSS-BJL,18,19,482
20221024,HC214,BJL-DSS,21,22,536
20221024,HC214,FNA-BJL,10,12,283
20221024,HC303,DSS-ABJ,45,65,1951
20221024,HC304,ABJ-DSS,58,109,3045
20221024,HC331,DSS-CMN,51,86,3883
20221024,HC332,CMN-DSS,61,101,2472
20221024,HC341,COO-DLA,29,63,1732
20221024,HC341,DLA-LBV,17,25,747
20221024,HC341,DSS-COO,24,39,1318
20221024,HC342,COO-DSS,34,68,2026
20221024,HC342,DLA-COO,23,38,931
20221024,HC342,LBV-DLA,11,17,478
20221024,HC403,DSS-CDG,121,210,6613
20221024,HC404,CDG-DSS,138,241,7914
20221024,HC417,DSS-MXP,61,104,3701
20221024,HC418,MXP-DSS,58,102,4077
20221025,HC101,DSS-CSK,43,45,1320
20221025,HC102,CSK-DSS,20,21,476
20221025,HC103,DSS-CSK,29,31,914
20221025,HC104,CSK-DSS,21,21,522
20221025,HC209,DSS-CKY,45,77,3569
20221025,HC210,CKY-DSS,26,38,1031
20221025,HC301,DSS-BKO,42,70,2507
20221025,HC302,BKO-DSS,36,59,1859
20221025,HC303,DSS-ABJ,55,80,2038
20221025,HC304,ABJ-DSS,52,105,2679
20221025,HC331,DSS-CMN,35,56,1588
20221025,HC332,CMN-DSS,36,73,2094
20221025,HC403,DSS-CDG,116,195,6925
20221025,HC404,CDG-DSS,153,283,9559
20221026,HC103,DSS-CSK,29,30,1087
20221026,HC104,CSK-DSS,37,39,1132
20221026,HC205,DSS-NKC,12,13,506
20221026,HC206,NKC-DSS,17,19,712
20221026,HC208,RAI-DSS,18,20,632
20221026,HC209,DSS-CKY,44,69,2954
20221026,HC210,CKY-DSS,24,37,1236
20221026,HC213,BJL-FNA,4,7,111
20221026,HC213,DSS-BJL,29,37,1129
20221026,HC214,BJL-DSS,21,24,774
20221026,HC214,FNA-BJL,5,6,171
20221026,HC303,DSS-ABJ,59,85,2600
20221026,HC304,ABJ-DSS,50,92,2821
20221026,HC331,DSS-CMN,38,66,2065
20221026,HC332,CMN-DSS,28,55,1584
20221026,HC403,DSS-CDG,138,249,7477
20221026,HC417,DSS-MXP,60,103,3390
20221026,HC427,DSS-LYS,27,49,1283
20221027,HC101,DSS-CSK,35,39,1008
20221027,HC102,CSK-DSS,17,17,380
20221027,HC103,DSS-CSK,34,40,1235
20221027,HC104,CSK-DSS,25,25,617
20221027,HC109,DSS-CSK,32,36,1222
20221027,HC110,CSK-DSS,30,30,979
20221027,HC205,DSS-NKC,16,17,601
20221027,HC206,NKC-DSS,22,23,821
20221027,HC209,DSS-CKY,45,81,2940
20221027,HC210,CKY-DSS,26,43,1469
20221027,HC301,DSS-BKO,39,63,2319
20221027,HC302,BKO-DSS,39,58,1952
20221027,HC303,DSS-ABJ,53,85,2530
20221027,HC304,ABJ-DSS,59,99,3291
20221027,HC341,COO-DLA,30,60,1795
20221027,HC341,DLA-LBV,12,14,331
20221027,HC341,DSS-COO,22,38,1620
20221027,HC342,COO-DSS,38,71,2688
20221027,HC342,DLA-COO,24,39,1049
20221027,HC342,LBV-DLA,16,25,643
20221027,HC403,DSS-CDG,119,213,7958
20221027,HC404,CDG-DSS,146,266,8516
20221027,HC407,DSS-JFK,58,109,3635
20221027,HC408,JFK-DSS,32,98,3932
20221027,HC423,DSS-BCN,41,73,1832
20221027,HC424,BCN-DSS,54,110,3522
20221028,HC105,CSK-DSS,28,28,767
20221028,HC105,DSS-CSK,27,29,490
20221028,HC109,DSS-CSK,37,42,1219
20221028,HC110,CSK-DSS,30,30,784
20221028,HC201,DSS-OXB,20,23,596
20221028,HC202,OXB-DSS,23,23,555
20221028,HC207,DSS-RAI,29,34,743
20221028,HC208,RAI-DSS,24,29,732
20221028,HC209,DSS-CKY,52,85,3250
20221028,HC210,CKY-DSS,30,43,2034
20221028,HC213,BJL-FNA,8,10,328
20221028,HC213,DSS-BJL,26,27,1064
20221028,HC214,BJL-DSS,33,36,1190
20221028,HC214,FNA-BJL,3,5,161
20221028,HC303,DSS-ABJ,62,95,2620
20221028,HC304,ABJ-DSS,49,105,2675
20221028,HC331,DSS-CMN,41,73,2811
20221028,HC332,CMN-DSS,25,47,1523
20221028,HC403,DSS-CDG,121,222,7295
20221028,HC404,CDG-DSS,148,285,8917
20221028,HC427,DSS-LYS,30,53,1158
20221028,HC427,MRS-DSS,35,55,1425
20221029,HC101,DSS-CSK,40,43,1016
20221029,HC102,CSK-DSS,35,35,939
20221029,HC105,CSK-DSS,37,38,1128
20221029,HC105,DSS-CSK,43,45,1364
20221029,HC203,DSS-BJL,15,17,447
20221029,HC204,BJL-DSS,24,25,817
20221029,HC205,DSS-NKC,35,41,1192
20221029,HC206,NKC-DSS,23,23,792
20221029,HC303,DSS-ABJ,70,110,3007
20221029,HC304,ABJ-DSS,63,111,3203
20221029,HC331,DSS-CMN,49,83,2592
20221029,HC332,CMN-DSS,38,67,1905
20221029,HC341,DLA-LBV,21,35,939
20221029,HC341,DSS-COO,27,52,1654
20221029,HC342,COO-DSS,45,84,3298
20221029,HC342,DLA-COO,22,47,1297
20221029,HC342,LBV-DLA,16,23,440
20221029,HC403,DSS-CDG,155,274,8952
20221029,HC404,CDG-DSS,156,248,7790
20221029,HC417,DSS-MXP,64,102,3336
20221029,HC418,MXP-DSS,62,110,3900
20221030,HC105,CSK-DSS,28,30,686
20221030,HC105,DSS-CSK,26,30,861
20221030,HC109,DSS-CSK,34,45,1698
20221030,HC110,CSK-DSS,35,38,1105
20221030,HC203,DSS-BJL,30,35,1252
20221030,HC204,BJL-DSS,45,47,1237
20221030,HC205,DSS-NKC,33,46,1297
20221030,HC206,NKC-DSS,34,37,1014
20221030,HC207,DSS-RAI,31,34,823
20221030,HC208,RAI-DSS,30,30,640
20221030,HC209,DSS-CKY,74,112,4149
20221030,HC210,CKY-DSS,73,98,1955
20221030,HC301,DSS-BKO,54,93,3319
20221030,HC302,BKO-DSS,42,74,2223
20221030,HC303,DSS-ABJ,83,125,3276
20221030,HC304,ABJ-DSS,63,99,2797
20221030,HC403,DSS-CDG,141,232,7164
20221030,HC404,CDG-DSS,160,291,11181
20221030,HC407,DSS-JFK,60,117,4303
20221030,HC408,JFK-DSS,53,130,4639
20221030,HC423,DSS-BCN,50,94,2583
20221030,HC424,BCN-DSS,65,131,4045
20221030,HC427,DSS-LYS,30,49,1030
20221030,HC427,MRS-DSS,34,55,1674
20221031,HC105,CSK-DSS,32,32,716
20221031,HC105,DSS-CSK,39,43,1521
20221031,HC109,DSS-CSK,41,42,1266
20221031,HC110,CSK-DSS,37,37,1225
20221031,HC201,DSS-OXB,22,25,630
20221031,HC202,OXB-DSS,14,15,329
20221031,HC203,DSS-BJL,14,14,541
20221031,HC204,BJL-DSS,36,40,1451
20221031,HC207,DSS-RAI,32,40,1307
20221031,HC208,RAI-DSS,40,42,946
20221031,HC209,DSS-CKY,44,66,3217
20221031,HC210,CKY-DSS,37,60,2128
20221031,HC213,DSS-FNA,11,18,518
20221031,HC303,DSS-ABJ,53,84,2669
20221031,HC304,ABJ-DSS,60,132,4920
20221031,HC331,DSS-CMN,57,96,3305
20221031,HC332,CMN-DSS,39,76,2461
20221031,HC403,DSS-CDG,155,264,7471
20221031,HC404,CDG-DSS,127,262,9324
20221031,HC417,DSS-MXP,70,111,4623
20221031,HC418,MXP-DSS,61,113,3686

